system   I             system.c:245  al_install_system                [   0.00115] Allegro version: 5.1.12 (WIP)
display  D   display_settings.c:202  debug_display_settings           [   0.05156] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.05161] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.05165] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.05171] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.05175] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.05189] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.05193] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.05198] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.05202] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.05207] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.05211] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.05216] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.05220] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.05224] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.05228] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.05267] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.05273] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.05288] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1670 d3d_create_display_internals     [   0.05296] Trying format 0.
d3d      I         d3d_disp.cpp:1346 d3d_display_thread_proc          [   0.05435] Chose a display format: 23
d3d      I         d3d_disp.cpp:1415 d3d_display_thread_proc          [   0.05442] Normal window.
d3d      I         d3d_disp.cpp:779  d3d_create_device                [   0.09431] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:837  d3d_create_device                [   0.12184] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:845  d3d_create_device                [   0.12192] Success
d3d      D         d3d_disp.cpp:1693 d3d_create_display_internals     [   0.12199] Resumed after wait.
d3d      I         d3d_disp.cpp:1726 d3d_create_display_internals     [   0.12207] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1757 d3d_create_display_internals     [   0.12214] Returning d3d_display: 01134E48
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.12218] al_display=01134E48
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.12221] al_display->vt=010FFB00
system   D            wsystem.c:674  maybe_parent_dir                 [   0.12257] Also searching C:\Users\Juan Manuel\Desktop\tp3sala\PG-TP3\TrabajoPractico-3\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.12287] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:635  load_library_at_path             [   0.12293] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:638  load_library_at_path             [   0.13533] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.13545] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:184  _al_register_destructor          [   0.13657] added dtor for object 01119A78, func 0F69233D
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.13830] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.13837] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.13841] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.13844] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.13849] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.13852] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.13856] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.13860] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.13863] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.13867] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.13871] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.13875] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.13879] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.13907] added dtor for object 07F59AD0, func 0F6921E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.13999] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.14006] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16758] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16765] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16769] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16773] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16776] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16780] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16783] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16787] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16790] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.16794] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.16798] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.16801] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.16805] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.16827] added dtor for object 07F59250, func 0F6921E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.16840] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.16845] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16939] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16946] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16950] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16954] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16957] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16961] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16964] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16968] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.16971] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.16975] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.16979] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.16983] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.16988] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.17009] added dtor for object 07F590C0, func 0F6921E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.17021] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.17030] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17132] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17139] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17143] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17146] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17150] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17153] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17156] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17164] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17168] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.17172] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.17176] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.17180] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.17184] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.17204] added dtor for object 07F55E18, func 0F6921E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.17215] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.17225] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17317] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17324] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17328] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17331] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17335] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17338] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17342] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17345] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17348] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.17352] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.17355] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.17359] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.17363] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.17392] added dtor for object 07F69AF0, func 0F6921E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.17405] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.17410] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17506] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17528] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17534] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17541] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17549] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17554] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17559] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17565] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17569] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.17573] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.17577] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.17582] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.17587] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.17620] added dtor for object 07F74080, func 0F6921E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.17641] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.17647] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17746] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17752] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17757] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17761] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17764] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17768] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17772] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17776] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17780] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.17783] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.17787] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.17791] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.17796] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.17815] added dtor for object 07F71AC0, func 0F6921E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.17827] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.17832] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17932] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17938] Fake format
